Sample	Reads_number	Unique_best_hit	Mapping_efficiency	No_alignments	Total_Cs	Total_CsM_CpG	Total_CsM_CHG	Total_CsM_CHH	Total_CsM_UNKNOWN	Total_CsU_CpG	CsM_CpG	CsM_CHG	CsM_CHH	CsM_UNKNOWN
sampling_12451_109_trimmed.fastq	11447	6399	55.9%	2973	110628	6998	173	427	4	3020	69.9%	0.6%	0.6%	8.3%
sampling_1245_110_trimmed.fastq	1158	634	54.7%	321	10875	687	17	50	0	322	68.1%	0.6%	0.7%	0.0%
sampling_12451_10_trimmed.fastq	11463	6421	56.0%	2876	110428	6956	167	421	0	3115	69.1%	0.6%	0.6%	0.0%
sampling_12451_110_trimmed.fastq	11478	6453	56.2%	2897	110891	6872	194	428	1	3247	67.9%	0.7%	0.6%	1.5%
sampling_12451_111_trimmed.fastq	11507	6436	55.9%	2982	111010	6896	196	421	2	3084	69.1%	0.7%	0.6%	3.5%
sampling_12451_112_trimmed.fastq	11514	6420	55.8%	2912	110834	7095	189	445	2	2999	70.3%	0.7%	0.6%	3.7%
sampling_12451_113_trimmed.fastq	11472	6366	55.5%	2951	109222	6685	165	457	1	3173	67.8%	0.6%	0.6%	2.3%
sampling_12451_114_trimmed.fastq	11453	6377	55.7%	2919	109872	7038	181	398	0	3078	69.6%	0.6%	0.6%	0.0%
sampling_12451_115_trimmed.fastq	11475	6421	56.0%	2930	110868	7083	192	413	1	3228	68.7%	0.7%	0.6%	2.1%
sampling_12451_116_trimmed.fastq	11442	6421	56.1%	2900	111038	6818	172	448	3	3042	69.1%	0.6%	0.6%	4.8%
