"","Sample","Length","CpG_met","CpG_unmet","Sum"
"225","07_report/CpG_context_sampling_125_225_trimmed_bismark_bt2.CpG",47,32,15,47
"226","07_report/CpG_context_sampling_125_226_trimmed_bismark_bt2.CpG",45,39,6,45
"227","07_report/CpG_context_sampling_125_227_trimmed_bismark_bt2.CpG",46,38,8,46
"228","07_report/CpG_context_sampling_125_228_trimmed_bismark_bt2.CpG",36,24,12,36
"229","07_report/CpG_context_sampling_125_229_trimmed_bismark_bt2.CpG",33,20,13,33
"230","07_report/CpG_context_sampling_125_230_trimmed_bismark_bt2.CpG",39,30,9,39
"231","07_report/CpG_context_sampling_125_231_trimmed_bismark_bt2.CpG",42,28,14,42
"232","07_report/CpG_context_sampling_125_232_trimmed_bismark_bt2.CpG",34,29,5,34
"233","07_report/CpG_context_sampling_125_233_trimmed_bismark_bt2.CpG",43,28,15,43
"234","07_report/CpG_context_sampling_125_234_trimmed_bismark_bt2.CpG",47,32,15,47
"235","07_report/CpG_context_sampling_125_235_trimmed_bismark_bt2.CpG",45,33,12,45
"236","07_report/CpG_context_sampling_125_236_trimmed_bismark_bt2.CpG",43,28,15,43
"237","07_report/CpG_context_sampling_125_237_trimmed_bismark_bt2.CpG",43,32,11,43
"238","07_report/CpG_context_sampling_125_238_trimmed_bismark_bt2.CpG",35,25,10,35
"239","07_report/CpG_context_sampling_125_239_trimmed_bismark_bt2.CpG",41,31,10,41
"240","07_report/CpG_context_sampling_125_240_trimmed_bismark_bt2.CpG",44,34,10,44
"241","07_report/CpG_context_sampling_125_241_trimmed_bismark_bt2.CpG",38,27,11,38
"242","07_report/CpG_context_sampling_125_242_trimmed_bismark_bt2.CpG",41,31,10,41
"243","07_report/CpG_context_sampling_125_243_trimmed_bismark_bt2.CpG",46,36,10,46
"244","07_report/CpG_context_sampling_125_244_trimmed_bismark_bt2.CpG",43,35,8,43
"245","07_report/CpG_context_sampling_125_245_trimmed_bismark_bt2.CpG",43,33,10,43
"246","07_report/CpG_context_sampling_125_246_trimmed_bismark_bt2.CpG",47,31,16,47
"247","07_report/CpG_context_sampling_125_247_trimmed_bismark_bt2.CpG",38,27,11,38
"248","07_report/CpG_context_sampling_125_248_trimmed_bismark_bt2.CpG",36,24,12,36
"249","07_report/CpG_context_sampling_125_249_trimmed_bismark_bt2.CpG",48,38,10,48
"250","07_report/CpG_context_sampling_125_250_trimmed_bismark_bt2.CpG",42,29,13,42
"251","07_report/CpG_context_sampling_125_251_trimmed_bismark_bt2.CpG",49,36,13,49
"252","07_report/CpG_context_sampling_125_252_trimmed_bismark_bt2.CpG",37,25,12,37
"253","07_report/CpG_context_sampling_125_253_trimmed_bismark_bt2.CpG",39,28,11,39
"254","07_report/CpG_context_sampling_125_254_trimmed_bismark_bt2.CpG",41,31,10,41
"255","07_report/CpG_context_sampling_125_255_trimmed_bismark_bt2.CpG",43,32,11,43
"256","07_report/CpG_context_sampling_125_256_trimmed_bismark_bt2.CpG",44,33,11,44
"257","07_report/CpG_context_sampling_125_257_trimmed_bismark_bt2.CpG",49,36,13,49
"258","07_report/CpG_context_sampling_125_258_trimmed_bismark_bt2.CpG",45,26,19,45
"259","07_report/CpG_context_sampling_125_259_trimmed_bismark_bt2.CpG",43,29,14,43
"260","07_report/CpG_context_sampling_125_260_trimmed_bismark_bt2.CpG",48,38,10,48
"261","07_report/CpG_context_sampling_125_261_trimmed_bismark_bt2.CpG",45,30,15,45
"262","07_report/CpG_context_sampling_125_262_trimmed_bismark_bt2.CpG",49,34,15,49
"263","07_report/CpG_context_sampling_125_263_trimmed_bismark_bt2.CpG",56,43,13,56
